SEN,CMID,NAME,BASE,FLEET,SEAT,HIREDATE,RTRDATE
1,1841,"TILLMAN, Joan",BOS,320,CA,7/16/1999,11/1/2059
2,3726,"WATERS, Ollie",JFK,320,CA,8/6/1999,1/19/2062
3,3272,"JOHNSTON-ZIEME, Tamara",JFK,220,CA,8/12/1999,2/15/2042
4,2458,"KUVALIS, Odie",JFK,320,CA,8/24/1999,9/10/2030
5,2558,"CONN, Lavinia",JFK,320,CA,9/20/1999,1/17/2036
6,2962,"O'KON, Victor",JFK,220,CA,9/26/1999,3/15/2032
7,1960,"HILLS, Sheldon",BOS,220,CA,10/20/1999,11/18/2049
8,1141,"JACOBI-KUNDE, Annabell",BOS,320,CA,11/12/1999,1/6/2035
9,1292,"HARTMANN, Orville",MCO,320,CA,12/25/1999,7/10/2042
10,1707,"MOHR, Tami",MCO,220,CA,1/27/2000,5/13/2041
11,1818,"OBERBRUNNER, Newell",JFK,220,CA,2/10/2000,2/1/2042
12,3606,"MEDHURST, Santiago",JFK,320,CA,2/15/2000,7/31/2059
13,1774,"MCKENZIE, Lempi",BOS,320,CA,2/17/2000,2/19/2032
14,1687,"YOST, Kristi",BOS,220,CA,3/12/2000,12/24/2046
15,2410,"CASSIN, Kimberly",BOS,320,CA,4/10/2000,2/22/2051
16,3831,"KOEPP, Howell",BOS,320,CA,4/11/2000,3/15/2030
17,2100,"NITZSCHE, Maria",JFK,320,CA,4/27/2000,1/8/2033
18,1499,"SWANIAWSKI, Roy",JFK,320,CA,6/15/2000,8/24/2039
19,3429,"KSHLERIN, Rufus",BOS,320,CA,6/19/2000,6/6/2036
20,3673,"ZEMLAK, Jalen",BOS,220,CA,6/26/2000,12/1/2046
21,2779,"TREUTEL, Rodney",JFK,220,CA,6/26/2000,6/19/2056
22,3129,"GRANT, Raquel",JFK,320,CA,6/27/2000,8/24/2040
23,2625,"KLOCKO, Eunice",BOS,320,CA,6/28/2000,6/7/2033
24,1947,"BAILEY, Peyton",JFK,320,CA,7/1/2000,8/11/2045
25,1691,"WIZA, Armando",JFK,220,CA,7/9/2000,1/18/2041
26,3547,"LAKIN, Carl",JFK,220,CA,7/23/2000,3/13/2040
27,1055,"PROHASKA, Justin",BOS,320,CA,7/28/2000,6/6/2044
28,1506,"SANFORD, Silas",JFK,320,CA,7/31/2000,10/25/2046
29,1756,"DOOLEY, Anya",JFK,320,CA,8/1/2000,5/16/2035
30,3470,"KUNDE, Leland",BOS,220,CA,8/7/2000,7/18/2040
31,3516,"ROBEL, Margarita",JFK,220,CA,8/8/2000,7/7/2049
32,1916,"DICKI, Troy",JFK,320,CA,8/14/2000,6/6/2047
33,2113,"TORPHY, Estelle",BOS,320,CA,8/16/2000,3/20/2064
34,3154,"WATERS, Jarrod",BOS,320,CA,8/16/2000,6/13/2035
35,2994,"MARKS, Alycia",BOS,320,CA,8/16/2000,11/26/2042
36,2405,"LEUSCHKE, Monica",BOS,320,CA,8/17/2000,7/1/2032
37,3888,"RYAN, Sherri",JFK,320,CA,8/24/2000,7/18/2053
38,1647,"BEATTY, Clarence",JFK,220,CA,9/1/2000,8/12/2044
39,2254,"BOGISICH, Wayne",JFK,320,CA,9/5/2000,3/6/2032
40,1700,"JAKUBOWSKI, Carlotta",JFK,320,CA,9/16/2000,6/21/2051
41,2993,"RUECKER, Eugene",JFK,220,CA,9/22/2000,7/17/2033
42,3488,"RIPPIN, Levi",JFK,320,CA,9/22/2000,11/12/2036
43,3431,"DICKINSON, Alexandra",MCO,320,CA,9/22/2000,5/10/2038
44,1670,"SKILES, Gregory",JFK,320,CA,9/25/2000,9/25/2034
45,1388,"LEHNER, Alda",JFK,320,CA,9/26/2000,10/4/2030
46,3778,"HARTMANN, Elda",JFK,320,CA,9/29/2000,3/9/2045
47,2370,"SCHOEN, Leonora",BOS,220,CA,10/3/2000,1/4/2032
48,3939,"TREMBLAY, Ali",BOS,220,CA,10/6/2000,6/11/2046
49,1369,"LEGROS, Joe",BOS,320,CA,10/19/2000,8/12/2054
50,1846,"KRIS, Enrique",BOS,320,CA,10/21/2000,7/18/2038
51,3763,"JERDE, Dolly",JFK,320,CA,10/24/2000,4/20/2049
52,1993,"SATTERFIELD, Aniyah",JFK,320,CA,10/25/2000,6/4/2047
53,1523,"HAMMES, Sergio",JFK,220,CA,11/2/2000,8/6/2034
54,2515,"TORPHY, Keith",MCO,220,CA,11/9/2000,6/20/2061
55,3842,"ZBONCAK, Sanford",BOS,320,CA,11/9/2000,5/21/2038
56,2205,"STROMAN, Alice",BOS,320,CA,11/11/2000,1/22/2057
57,3075,"ROLFSON, Maxwell",BOS,320,CA,11/18/2000,3/4/2046
58,3122,"SHANAHAN, Shirley",BOS,320,CA,11/21/2000,3/6/2042
59,1971,"BREITENBERG, Laney",JFK,320,CA,11/29/2000,3/6/2049
60,3743,"KASSULKE, Ettie",JFK,320,CA,11/30/2000,4/29/2046
61,1858,"DOOLEY, Zakary",BOS,320,CA,12/1/2000,9/12/2040
62,3371,"HOWELL, Jorge",BOS,220,CA,12/5/2000,11/17/2038
63,2623,"BERNIER, Dale",JFK,220,CA,12/5/2000,12/5/2054
64,1716,"NIKOLAUS, Jewell",JFK,320,CA,12/5/2000,3/1/2040
65,2345,"DACH, Danny",BOS,320,CA,12/6/2000,3/16/2059
66,2899,"VOLKMAN-TERRY, Elvira",JFK,320,CA,12/12/2000,10/27/2035
67,2574,"WATSICA, David",JFK,320,CA,12/15/2000,10/1/2051
68,1414,"BEATTY, Ronnie",JFK,320,CA,12/20/2000,6/3/2037
69,2348,"WHITE, Gladys",JFK,320,CA,12/23/2000,2/7/2039
70,2308,"LEBSACK, Xander",BOS,320,CA,1/1/2001,11/9/2045
71,1172,"HAUCK, Antonina",JFK,320,CA,1/2/2001,12/24/2042
72,2028,"JAST, Gerald",BOS,220,CA,1/3/2001,3/26/2048
73,1738,"WALSH, Mireille",JFK,320,CA,1/3/2001,3/5/2047
74,1440,"ORN, Ethan",BOS,320,CA,1/14/2001,11/1/2057
75,1696,"LEANNON, Lowell",BOS,320,CA,1/17/2001,4/24/2058
76,1732,"O'CONNELL, Rickey",BOS,320,CA,1/18/2001,3/24/2053
77,1930,"TRANTOW, Baby",JFK,320,CA,1/31/2001,1/2/2047
78,3258,"HARTMANN, Roel",JFK,320,CA,1/31/2001,1/13/2047
79,3220,"MORAR, Ruth",JFK,320,CA,2/3/2001,2/26/2061
80,2451,"HARBER, Juan",BOS,320,CA,2/11/2001,5/12/2039
81,2058,"WATSICA, Doyle",JFK,320,CA,2/11/2001,12/4/2031
82,2286,"LEGROS, Amiya",BOS,320,CA,2/13/2001,9/29/2041
83,2231,"DAUGHERTY, Willie",JFK,320,CA,2/16/2001,2/18/2037
