SEN,CMID,NAME,BASE,FLEET,SEAT,HIREDATE,RTRDATE
1,1495,"ROOB, Oswaldo",JFK,320,CA,8/2/1999,5/7/2041
2,3243,"ROHAN, Destini",MCO,320,CA,8/21/1999,3/21/2038
3,2835,"KULAS, Dejah",JFK,320,CA,10/4/1999,12/12/2039
4,2712,"REICHERT, Johnathon",JFK,320,CA,10/18/1999,7/10/2030
5,1033,"HOEGER, Marcelle",BOS,320,CA,11/30/1999,5/5/2036
6,1020,"SIPES, Juan",JFK,320,CA,12/9/1999,4/24/2038
7,2146,"RATH, Claudine",JFK,220,CA,12/27/1999,7/16/2045
8,2032,"HEANEY, Felix",BOS,220,CA,1/5/2000,2/10/2060
9,2046,"AUER-LINDGREN, Tressa",BOS,320,CA,1/14/2000,10/6/2040
10,1861,"PFANNERSTILL, Moshe",MCO,320,CA,2/5/2000,12/5/2047
11,3393,"FRANEY, Nichole",BOS,320,CA,4/15/2000,12/14/2037
12,3471,"SAUER, Bobbie",JFK,220,CA,4/16/2000,4/18/2053
13,3431,"KUHLMAN, Genoveva",BOS,320,CA,4/18/2000,3/7/2036
14,3034,"RITCHIE, Maybelle",BOS,320,CA,4/19/2000,1/8/2034
15,1796,"REICHEL, Odell",JFK,220,CA,4/26/2000,10/24/2048
16,2023,"BECHTELAR, Karen",BOS,320,CA,4/26/2000,1/19/2050
17,3754,"GRADY, Douglas",JFK,320,CA,5/7/2000,7/1/2050
18,3341,"VOLKMAN, Angelica",BOS,320,CA,5/23/2000,11/20/2026
19,2586,"MURPHY, Stacey",JFK,320,CA,6/13/2000,6/5/2027
20,3075,"MORAR, Bret",JFK,320,CA,6/17/2000,3/5/2036
21,2446,"DIETRICH, Aaron",BOS,320,CA,6/23/2000,3/4/2041
22,2449,"MORAR, Eunice",BOS,320,CA,6/25/2000,11/7/2049
23,1661,"MUELLER, Kory",JFK,320,CA,7/2/2000,3/4/2034
24,2802,"JOHNS, Bo",JFK,320,CA,7/12/2000,3/13/2038
25,2871,"BREITENBERG, Tricia",JFK,320,CA,7/24/2000,11/4/2034
26,1240,"SPORER, Kurt",JFK,320,CA,7/26/2000,6/9/2044
27,3649,"ONDRICKA, Piper",BOS,320,CA,7/27/2000,5/4/2042
28,3792,"SCHUPPE, Jade",JFK,320,CA,7/27/2000,7/22/2043
29,1542,"D'AMORE, Eleanore",JFK,320,CA,7/28/2000,2/9/2044
30,2597,"WILL, Gertrude",BOS,320,CA,7/30/2000,10/17/2034
31,3687,"RATH, Ola",BOS,320,CA,8/9/2000,12/11/2035
32,2663,"OBERBRUNNER, Jesus",JFK,320,CA,8/16/2000,2/3/2040
33,2756,"LARSON-HEATHCOTE, Hardy",BOS,320,CA,8/20/2000,1/24/2029
34,3853,"MERTZ, Cleta",JFK,320,CA,8/22/2000,1/6/2031
35,2790,"SCHNEIDER, Chanel",JFK,320,CA,8/23/2000,2/3/2055
36,2619,"HIRTHE, Alexys",MCO,320,CA,8/25/2000,10/24/2055
37,1663,"BARTON, Cesar",JFK,320,CA,8/27/2000,10/12/2032
38,3575,"CREMIN, Yolanda",MCO,320,CA,9/1/2000,12/13/2029
39,1407,"BOYER, Benedict",BOS,320,CA,9/14/2000,12/9/2035
40,3771,"DICKINSON, Emmet",JFK,320,CA,9/17/2000,6/10/2027
41,3434,"SCHUPPE-KUHLMAN, Frederique",BOS,320,CA,9/24/2000,12/21/2036
42,2070,"CARTWRIGHT, Tyshawn",JFK,320,CA,9/27/2000,10/16/2028
43,1776,"LYNCH-VEUM, Bridget",MCO,320,CA,10/3/2000,7/6/2034
44,2877,"RIPPIN, Laurence",JFK,320,CA,10/9/2000,9/25/2054
45,1730,"SCHAMBERGER, Emie",JFK,320,CA,10/9/2000,10/5/2037
46,1670,"KAUTZER, Isaac",JFK,320,CA,10/11/2000,11/13/2032
47,2353,"HEGMANN, Randal",BOS,320,CA,10/16/2000,10/13/2032
48,1242,"STOKES, Justen",JFK,320,CA,10/29/2000,10/24/2062
49,2326,"WILDERMAN, Hallie",JFK,320,CA,10/31/2000,1/13/2038
50,2627,"CARTER, Jake",JFK,320,CA,11/1/2000,12/14/2027
51,1820,"SANFORD, Donnie",JFK,220,CA,11/4/2000,12/6/2058
52,1722,"PREDOVIC, Marietta",JFK,320,CA,11/9/2000,5/1/2044
53,2523,"CORKERY, Francisco",JFK,320,CA,11/9/2000,3/24/2056
54,2755,"BAHRINGER, Leticia",JFK,320,CA,11/10/2000,1/25/2050
55,3289,"MULLER, Eleanor",BOS,220,CA,11/11/2000,11/18/2032
56,3846,"HIRTHE, Francisco",JFK,320,CA,11/14/2000,9/15/2040
57,2754,"GLEASON, Erika",MCO,320,CA,11/16/2000,9/8/2037
58,1085,"GUSIKOWSKI, Etha",JFK,320,CA,11/20/2000,9/6/2041
59,3277,"VEUM, Joanna",BOS,320,CA,11/28/2000,4/9/2033
60,3888,"KING, Felicity",BOS,320,CA,12/1/2000,2/20/2031
61,2667,"KOVACEK, Otis",JFK,320,CA,12/3/2000,12/15/2041
62,2699,"HERMAN, Gene",BOS,320,CA,12/5/2000,1/20/2039
63,1090,"KILBACK, Kassandra",BOS,320,CA,12/6/2000,9/5/2055
64,3705,"POUROS, Kristy",MCO,220,CA,12/6/2000,4/7/2045
65,2862,"MAYER, Marilyn",JFK,320,CA,12/18/2000,11/27/2030
66,2743,"BRUEN, Selmer",BOS,320,CA,12/25/2000,4/2/2028
67,3525,"NITZSCHE, Russell",JFK,320,CA,12/26/2000,5/17/2044
68,3115,"MULLER, Abelardo",BOS,320,CA,12/27/2000,10/2/2054
69,2661,"SATTERFIELD-BREITENBERG, Brooke",JFK,320,CA,12/27/2000,3/8/2037
70,3321,"HAGENES, Darin",JFK,320,CA,1/3/2001,7/13/2031
71,2585,"ROGAHN, Alivia",BOS,220,CA,1/12/2001,3/4/2048
72,3183,"SCHUPPE, Macy",JFK,320,CA,1/13/2001,3/7/2028
73,3332,"HERZOG, Abel",JFK,220,CA,1/17/2001,1/2/2047
74,2711,"TROMP, Bradley",BOS,320,CA,1/17/2001,6/17/2031
75,2723,"JOHNSTON-CHRISTIANSEN, Pablo",MCO,320,CA,2/1/2001,1/12/2042
76,3124,"BOYER, Pablo",BOS,320,CA,2/4/2001,2/18/2033
77,2147,"HAGENES, Lloyd",BOS,320,CA,2/12/2001,9/2/2035
78,3818,"MEDHURST, Lynda",JFK,320,CA,2/20/2001,7/13/2032
79,1136,"SMITH, Gregoria",JFK,220,CA,3/2/2001,9/12/2040
80,1852,"PFEFFER, Lester",BOS,320,CA,3/8/2001,1/13/2045
81,1143,"DOUGLAS-SCHNEIDER, Marty",BOS,220,CA,3/15/2001,1/10/2052
82,3647,"LABADIE, Nick",JFK,320,CA,3/19/2001,6/10/2046
83,2612,"CORMIER, Dianna",JFK,320,CA,3/20/2001,7/14/2033
84,2698,"O'REILLY, Christ",JFK,320,CA,3/22/2001,1/30/2039
85,2940,"WHITE, Stuart",JFK,320,CA,3/23/2001,8/20/2034
86,3482,"CARTWRIGHT, Bertram",JFK,320,CA,3/26/2001,7/9/2052
87,3318,"GRADY, Rosella",JFK,320,CA,3/29/2001,1/8/2040
88,1008,"KLING, Manuela",JFK,320,CA,4/1/2001,1/29/2033
89,3294,"HAND, Macy",JFK,320,CA,4/2/2001,12/3/2040
90,3053,"HAYES, Serena",JFK,320,CA,4/3/2001,11/12/2040
91,1493,"OBERBRUNNER, London",MCO,320,CA,4/5/2001,3/16/2036
92,2338,"BOGISICH, Veda",BOS,320,CA,4/6/2001,12/11/2053
93,1962,"DOYLE, Perry",JFK,320,CA,4/7/2001,8/26/2045
94,1925,"DOYLE-BERGSTROM, Sister",JFK,220,CA,4/15/2001,1/21/2050
95,2599,"PROHASKA, Kathy",BOS,320,CA,4/21/2001,12/19/2029
96,2636,"HAMMES, Lelia",JFK,220,CA,4/22/2001,7/30/2035
97,1189,"JASKOLSKI, Tony",JFK,320,CA,4/22/2001,9/8/2032
98,3405,"LUEILWITZ-GOLDNER, Eugenia",MCO,220,CA,4/25/2001,1/30/2044
99,1204,"KOSS, Mafalda",JFK,320,CA,5/3/2001,4/26/2038
100,1270,"HARBER, Isabel",BOS,220,CA,5/3/2001,10/24/2050
101,2999,"WITTING, Nicole",MCO,320,CA,5/5/2001,6/2/2035
102,3010,"ULLRICH, Daryl",JFK,320,CA,5/6/2001,7/22/2041
103,1319,"BARTOLETTI, Malika",JFK,320,CA,5/9/2001,5/13/2042
104,1080,"LEMKE-HARVEY, Eileen",MCO,320,CA,5/15/2001,2/6/2048
105,3177,"BATZ, Candelario",BOS,320,CA,5/16/2001,5/30/2050
106,3255,"ORTIZ, Marlon",BOS,320,CA,5/20/2001,7/23/2044
107,2256,"BEATTY, Jaycee",JFK,320,CA,5/21/2001,2/20/2037
108,1061,"O'CONNELL, Melissa",BOS,320,CA,5/25/2001,3/16/2058
109,1072,"KUVALIS, Brenda",JFK,320,CA,5/30/2001,3/7/2031
110,2110,"MULLER, Paulette",MCO,320,CA,5/31/2001,7/31/2036
111,2221,"CORMIER-FUNK, Leslie",MCO,320,CA,6/15/2001,11/14/2056
112,2616,"SCHMELER, Clara",JFK,320,CA,6/15/2001,7/3/2033
113,2470,"ANDERSON, Emilio",JFK,220,CA,6/16/2001,4/2/2038
114,2266,"CORKERY, Melanie",MCO,220,CA,6/19/2001,2/13/2058
115,2990,"POWLOWSKI, Eloy",JFK,320,CA,6/21/2001,12/24/2045
116,1973,"PAGAC, Ciara",BOS,320,CA,6/29/2001,3/4/2027
117,2084,"RENNER, Chauncey",JFK,320,CA,7/3/2001,10/17/2035
118,2964,"DURGAN, Kavon",BOS,320,CA,7/10/2001,8/14/2060
119,2603,"ZEMLAK, Elisa",BOS,320,CA,7/15/2001,12/26/2063
120,3730,"ROHAN, Bobbie",BOS,320,CA,7/30/2001,1/3/2047
121,3440,"JAKUBOWSKI, Hannah",JFK,220,CA,8/5/2001,11/6/2051
122,3178,"MURPHY-CONNELLY, Georgia",BOS,320,CA,8/7/2001,2/1/2046
123,1555,"HOEGER, Joan",BOS,320,FO,8/17/2001,7/19/2038
124,3953,"JOHNSTON, Buford",BOS,320,CA,8/22/2001,2/7/2033
125,3172,"KOZEY, Wesley",JFK,320,CA,8/23/2001,10/21/2035
126,3114,"DANIEL, Ciara",JFK,220,CA,8/27/2001,10/24/2031
127,3918,"VONRUEDEN, Kaela",JFK,220,CA,9/29/2001,3/25/2047
128,1298,"ZEMLAK, Ellen",BOS,320,CA,9/29/2001,11/25/2039
129,3067,"RUNOLFSDOTTIR, Wayne",JFK,320,CA,10/3/2001,8/9/2045
130,3671,"KSHLERIN, Fredrick",JFK,320,CA,10/4/2001,7/20/2055
131,1779,"SIPES, Ivory",JFK,320,CA,10/5/2001,12/20/2029
132,2392,"ABBOTT, Annamae",MCO,220,CA,10/5/2001,6/17/2039
133,2101,"KUNDE, Bonita",JFK,320,CA,10/11/2001,11/17/2033
134,2912,"ROSENBAUM, James",MCO,320,CA,10/13/2001,7/1/2037
135,2781,"CASPER-ROBERTS, Jayme",BOS,320,CA,10/14/2001,8/4/2027
136,3046,"FEIL, Guadalupe",JFK,320,CA,10/20/2001,4/6/2035
137,3941,"O'HARA, Kirk",JFK,320,CA,10/21/2001,11/7/2028
138,1655,"MACEJKOVIC, Cameron",JFK,320,CA,10/24/2001,4/29/2051
139,3455,"MARQUARDT, Henrietta",BOS,320,CA,10/25/2001,3/25/2031
140,2362,"GERLACH, Karla",BOS,320,FO,11/6/2001,6/27/2061
141,3076,"KOSS, Layne",BOS,320,CA,11/9/2001,12/14/2032
142,1437,"NITZSCHE, Kamren",MCO,320,CA,11/13/2001,3/1/2045
143,1384,"HILLS, Alejandra",BOS,320,CA,11/20/2001,10/16/2030
144,2549,"WINDLER, Doug",JFK,320,CA,11/21/2001,11/4/2031
145,3411,"CONROY, Christian",JFK,320,CA,11/23/2001,2/24/2043
146,2809,"HANSEN, Aisha",JFK,320,CA,11/28/2001,9/11/2034
147,1503,"WELCH, Darrin",BOS,320,CA,12/6/2001,4/27/2033
148,3263,"WINDLER, Gary",JFK,220,CA,12/11/2001,2/27/2056
149,3188,"LYNCH, Charlie",JFK,320,CA,12/27/2001,9/9/2052
150,2160,"RUTHERFORD, Chloe",JFK,220,CA,12/27/2001,4/6/2033
151,1159,"BOEHM, Annie",JFK,320,CA,12/30/2001,8/1/2047
152,3829,"KONOPELSKI, Porter",JFK,320,CA,1/4/2002,4/25/2044
153,2038,"SCHUMM, Myrtie",JFK,320,CA,1/6/2002,8/13/2041
154,2969,"SIPES, Jonas",BOS,220,CA,1/6/2002,5/18/2032
155,3132,"FLATLEY, Santiago",JFK,320,CA,1/7/2002,5/24/2063
156,1340,"REINGER, Troy",JFK,320,CA,1/9/2002,3/17/2033
157,1074,"RUNTE, Casandra",JFK,320,CA,1/16/2002,3/7/2044
158,3319,"PAGAC, Patti",JFK,320,CA,1/22/2002,9/27/2031
159,2681,"PARKER, Cleve",JFK,320,CA,1/22/2002,9/30/2039
160,2416,"KLEIN, Kenny",MCO,320,CA,1/24/2002,10/29/2052
161,2565,"LINDGREN, Josefina",JFK,220,CA,1/26/2002,9/13/2062
162,1816,"WOLF, Clark",JFK,220,CA,1/26/2002,8/3/2033
163,3755,"REICHERT, Presley",MCO,320,CA,1/30/2002,8/14/2030
164,1281,"O'REILLY, Domingo",JFK,320,CA,2/3/2002,8/11/2054
165,1505,"STOLTENBERG, Laurine",JFK,320,CA,2/8/2002,6/23/2054
166,1510,"GOTTLIEB, Bernardo",MCO,320,CA,2/11/2002,8/12/2026
167,1460,"CONROY, Lillian",BOS,320,CA,2/11/2002,2/16/2040
168,2132,"GOLDNER, Edgar",JFK,320,CA,2/14/2002,1/3/2057
169,2178,"ORTIZ, Christine",JFK,220,CA,2/16/2002,8/2/2054
170,3683,"BAUMBACH, Jesse",MCO,320,CA,2/17/2002,2/20/2036
171,1521,"WISOZK, Luther",JFK,320,CA,2/18/2002,8/29/2030
172,2295,"GLEASON, Audrey",JFK,220,CA,2/25/2002,3/19/2047
173,2168,"DECKOW, Blanca",JFK,320,CA,2/26/2002,6/28/2049
174,3262,"REMPEL, Antonio",JFK,220,CA,2/27/2002,12/20/2059
175,2702,"FRIESEN, Josephine",BOS,320,CA,3/4/2002,10/7/2050
176,1985,"LANG, Mae",BOS,320,CA,3/5/2002,6/6/2042
177,2161,"STREICH, Corey",JFK,320,CA,3/5/2002,2/8/2058
178,1249,"HOWELL, Clint",JFK,320,CA,3/10/2002,5/28/2048
179,1448,"ERNSER, Marco",JFK,320,FO,3/14/2002,7/18/2035
180,3763,"DURGAN, Vicente",BOS,320,CA,3/15/2002,2/6/2032
181,3873,"LEANNON, Lorene",BOS,320,CA,3/17/2002,5/23/2040
